road_type,weather,light,traffic,temperature,battery,vehicle_weight,correct_action,predicted_action,verdict
Semi Urban,Foggy,night,high,33,11,1925.54,Pull over,Pull over,Optimal
Semi Urban,Sunny,night,moderate,26,34,2364.93,Turn on headlights,Maintain speed,Risky
Rural,Sunny,night,no,-3,80,1700.17,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,no,21,76,2036.93,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,night,no,31,76,2194.84,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,night,moderate,-1,37,1647.23,Turn on headlights,Activate hazard lights,Risky
Rural,Sunny,day,high,3,66,2317.54,Maintain speed,Turn on headlights,Risky
Highway,Foggy,night,moderate,-2,32,1980.8,Turn on headlights,Activate hazard lights,Risky
Highway,Foggy,day,no,18,48,2160.19,Maintain speed,Reduce speed,Risky
Highway,Foggy,night,high,1,64,2304.54,Reduce speed,Pull over,Risky
Highway,Rainy,day,no,25,49,2158.07,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,no,18,30,2318.22,Maintain speed,Reduce speed,Risky
Rural,Foggy,night,no,32,18,2367.62,Turn on headlights,Pull over,Risky
Semi Urban,Foggy,day,high,30,81,2098.37,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,moderate,32,75,1649.45,Turn on headlights,Activate hazard lights,Risky
Rural,Foggy,day,no,-7,52,1828.15,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,high,18,29,2313.17,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,no,17,30,1790.25,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,night,moderate,4,20,2420.45,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,day,no,-3,96,1813.7,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,high,23,34,1678.66,Reduce speed,Turn on headlights,Risky
Rural,Sunny,day,moderate,-8,79,1912.93,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,moderate,21,91,1980.05,Maintain speed,Turn on headlights,Risky
Rural,Sunny,night,no,28,40,2096.67,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,no,16,37,1784.2,Maintain speed,Reduce speed,Risky
Semi Urban,Sunny,night,no,5,33,1882.84,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,day,high,17,13,2141.97,Pull over,Maintain speed,Unsafe
Rural,Foggy,night,moderate,24,37,2061.77,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,day,high,38,76,2218.71,Maintain speed,Activate hazard lights,Risky
Highway,Foggy,night,no,37,14,1907.71,Pull over,Activate hazard lights,Acceptable
Semi Urban,Foggy,day,moderate,17,49,2165.29,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,no,11,69,2347.49,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,no,33,72,1739.17,Maintain speed,Turn on headlights,Risky
Rural,Foggy,night,high,-2,82,2262.67,Reduce speed,Reduce speed,Optimal
Highway,Snow,day,moderate,-2,75,2292.08,Reduce speed,Pull over,Risky
Rural,Rainy,day,no,29,12,2186.66,Pull over,Maintain speed,Unsafe
Rural,Sunny,night,moderate,12,29,1861.78,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,day,high,23,55,1899.59,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,high,25,60,2199.98,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,moderate,35,27,1628.23,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,high,21,32,2453.28,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,no,31,57,2129.38,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,6,20,2374.1,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Rainy,day,high,18,78,1798.36,Reduce speed,Pull over,Risky
Semi Urban,Foggy,day,no,35,53,2449.73,Maintain speed,Reduce speed,Risky
Rural,Rainy,day,moderate,4,96,2166.64,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,day,moderate,26,20,1713.9,Reduce speed,Maintain speed,Risky
Rural,Foggy,night,high,24,46,2183.78,Reduce speed,Turn on headlights,Risky
Rural,Sunny,night,high,17,37,2316.07,Reduce speed,Maintain speed,Risky
Highway,Rainy,day,high,36,23,1884.23,Reduce speed,Turn on headlights,Risky
Semi Urban,Sunny,night,no,34,32,1643.46,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Snow,night,moderate,-9,40,1679.08,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,night,moderate,16,100,2213.35,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,high,34,99,1829.05,Maintain speed,Turn on headlights,Risky
Semi Urban,Rainy,day,moderate,22,18,1537.88,Reduce speed,Turn on headlights,Risky
Semi Urban,Rainy,night,moderate,1,64,2274.55,Turn on headlights,Maintain speed,Risky
Highway,Snow,night,no,5,87,1826.07,Turn on headlights,Maintain speed,Risky
Semi Urban,Rainy,night,moderate,18,39,2257.12,Turn on headlights,Pull over,Risky
Semi Urban,Rainy,day,high,23,62,1536.54,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,moderate,18,73,1887.63,Turn on headlights,Pull over,Risky
Rural,Foggy,day,no,-5,29,1946.85,Activate hazard lights,Reduce speed,Risky
Highway,Rainy,night,high,-5,21,1539.44,Reduce speed,Reduce speed,Optimal
Semi Urban,Snow,night,high,2,56,2010.58,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Rainy,night,high,-3,85,1771.74,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,moderate,10,62,1613.88,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,moderate,26,49,2251.72,Turn on headlights,Pull over,Risky
Semi Urban,Foggy,day,moderate,34,88,2133.48,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,no,2,52,2401.97,Turn on headlights,Turn on headlights,Optimal
Highway,Snow,night,no,-5,56,1909.92,Reduce speed,Maintain speed,Risky
Semi Urban,Snow,night,high,-3,24,2244.73,Reduce speed,Turn on headlights,Risky
Highway,Foggy,night,no,13,18,1500.58,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,no,-8,99,1686.02,Turn on headlights,Activate hazard lights,Risky
Highway,Sunny,night,no,24,79,1862.45,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,moderate,39,18,2144.5,Turn on headlights,Reduce speed,Risky
Rural,Foggy,day,moderate,32,76,2409.13,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,moderate,10,71,2342.19,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,high,-9,87,2170.37,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,no,39,20,2240.32,Activate hazard lights,Reduce speed,Risky
Semi Urban,Sunny,day,no,24,27,2158.7,Activate hazard lights,Reduce speed,Risky
Semi Urban,Rainy,night,moderate,27,19,2364.99,Turn on headlights,Pull over,Risky
Rural,Rainy,day,high,-7,54,1695.1,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,day,moderate,-1,74,2210.46,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,moderate,10,59,2491.74,Turn on headlights,Reduce speed,Risky
Semi Urban,Rainy,night,moderate,19,56,1512.7,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,night,no,15,65,2472.27,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,high,29,92,2424.84,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Snow,day,moderate,-2,76,2265.02,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,high,-5,70,1888.7,Maintain speed,Reduce speed,Risky
Rural,Sunny,day,high,35,16,2289.55,Activate hazard lights,Turn on headlights,Risky
Rural,Foggy,day,no,7,64,2296.32,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,high,-10,97,2498.05,Reduce speed,Turn on headlights,Risky
Highway,Sunny,day,moderate,-7,88,2134.52,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,moderate,15,81,2116.05,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,moderate,13,77,2278.41,Maintain speed,Activate hazard lights,Risky
Highway,Rainy,day,moderate,29,69,2271.77,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,moderate,34,46,2301.17,Turn on headlights,Pull over,Risky
Semi Urban,Rainy,night,high,18,71,2413.96,Reduce speed,Maintain speed,Risky
Semi Urban,Snow,day,moderate,1,89,2179.72,Maintain speed,Reduce speed,Risky
Rural,Rainy,day,no,-5,26,2122.2,Activate hazard lights,Pull over,Risky
Rural,Sunny,night,moderate,16,46,1750.17,Turn on headlights,Turn on headlights,Optimal
Highway,Snow,night,no,-9,96,2200.55,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,day,high,27,12,2190.91,Pull over,Pull over,Optimal
Semi Urban,Rainy,day,high,27,52,2067.8,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,high,38,67,1530.73,Reduce speed,Pull over,Risky
Semi Urban,Sunny,night,high,-8,50,2427.16,Reduce speed,Activate hazard lights,Acceptable
Highway,Foggy,night,high,1,17,1525.58,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,no,-10,88,2037.83,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,no,17,25,2193.45,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,day,high,17,35,2449.65,Maintain speed,Activate hazard lights,Risky
Semi Urban,Sunny,day,no,25,46,2411.5,Maintain speed,Reduce speed,Risky
Semi Urban,Rainy,night,high,11,97,1933.95,Reduce speed,Reduce speed,Optimal
Rural,Sunny,day,high,8,35,2130.79,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,moderate,29,92,1934.15,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,high,33,29,1729.35,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,moderate,5,59,1669.48,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,moderate,30,79,2251.0,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,moderate,10,39,1526.04,Maintain speed,Turn on headlights,Risky
Semi Urban,Sunny,night,no,35,17,2045.03,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,high,31,59,1538.37,Reduce speed,Activate hazard lights,Acceptable
Rural,Foggy,night,moderate,3,30,2391.57,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,night,moderate,29,36,2287.78,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,day,no,-9,42,2189.95,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,no,29,56,1909.87,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,high,2,30,1789.06,Maintain speed,Activate hazard lights,Risky
Rural,Foggy,night,high,-2,84,1783.27,Reduce speed,Maintain speed,Risky
Highway,Sunny,day,high,35,13,1577.02,Pull over,Pull over,Optimal
Highway,Foggy,day,moderate,28,70,1757.38,Maintain speed,Pull over,Risky
Semi Urban,Rainy,day,high,1,50,1834.15,Reduce speed,Maintain speed,Risky
Semi Urban,Foggy,day,no,27,60,1891.87,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,high,19,95,2092.68,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,no,28,40,2291.85,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,no,39,76,1992.35,Turn on headlights,Pull over,Risky
Rural,Rainy,night,high,-8,93,2006.01,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,no,17,56,1751.25,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,high,20,21,1540.68,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,no,17,94,1516.95,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,high,-1,41,2467.52,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,moderate,6,11,1660.76,Pull over,Pull over,Optimal
Rural,Rainy,night,no,-1,82,2472.14,Turn on headlights,Reduce speed,Risky
Highway,Rainy,night,high,39,93,1947.1,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,no,0,20,2455.82,Activate hazard lights,Activate hazard lights,Optimal
Rural,Snow,day,moderate,-8,61,1587.77,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,day,no,18,70,2061.32,Maintain speed,Turn on headlights,Risky
Highway,Sunny,night,moderate,15,19,2198.42,Turn on headlights,Activate hazard lights,Risky
Rural,Rainy,day,high,-9,75,1635.41,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,high,15,76,2003.82,Maintain speed,Pull over,Risky
Highway,Rainy,night,moderate,-4,46,1822.57,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Rainy,night,high,-1,61,2006.26,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,moderate,39,57,1716.47,Maintain speed,Activate hazard lights,Risky
Highway,Rainy,night,no,21,68,1734.57,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,no,36,78,2367.33,Turn on headlights,Reduce speed,Risky
Semi Urban,Sunny,night,moderate,10,73,1913.63,Turn on headlights,Pull over,Risky
Semi Urban,Foggy,day,no,-7,29,1715.33,Activate hazard lights,Pull over,Risky
Semi Urban,Foggy,day,high,3,12,1814.88,Pull over,Pull over,Optimal
Semi Urban,Sunny,day,moderate,2,47,2499.08,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,no,29,34,1839.58,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,moderate,13,48,1575.04,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,moderate,19,84,1699.35,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,moderate,19,42,1818.41,Reduce speed,Maintain speed,Risky
Semi Urban,Foggy,day,moderate,23,27,2197.19,Activate hazard lights,Activate hazard lights,Optimal
Rural,Sunny,day,no,-9,88,2347.87,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,no,38,97,2078.81,Maintain speed,Reduce speed,Risky
Highway,Foggy,day,high,12,44,1807.69,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,37,22,1929.53,Activate hazard lights,Reduce speed,Risky
Rural,Snow,day,moderate,-7,20,1514.54,Reduce speed,Pull over,Risky
Rural,Rainy,night,no,16,51,2287.85,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,day,moderate,-7,45,1915.41,Maintain speed,Pull over,Risky
Highway,Foggy,day,no,25,96,1518.53,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,day,no,6,86,1995.43,Maintain speed,Reduce speed,Risky
Rural,Foggy,night,no,31,93,2044.32,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,no,9,51,1762.12,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,no,20,29,1684.95,Activate hazard lights,Pull over,Risky
Semi Urban,Rainy,day,high,26,42,2276.3,Reduce speed,Reduce speed,Optimal
Highway,Foggy,day,moderate,11,96,1759.34,Maintain speed,Reduce speed,Risky
Rural,Foggy,day,no,-2,81,1707.74,Maintain speed,Reduce speed,Risky
Semi Urban,Rainy,night,high,30,41,1814.23,Reduce speed,Turn on headlights,Risky
Semi Urban,Sunny,day,no,4,55,1745.74,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,high,21,10,1844.41,Pull over,Turn on headlights,Risky
Semi Urban,Rainy,night,moderate,38,99,2455.99,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,high,34,19,2449.19,Reduce speed,Maintain speed,Risky
Rural,Rainy,night,moderate,-6,97,1762.24,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,moderate,29,82,2467.45,Reduce speed,Pull over,Risky
Rural,Rainy,day,high,35,63,1943.07,Reduce speed,Turn on headlights,Risky
Rural,Snow,day,high,1,21,2379.2,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Sunny,day,no,5,98,1659.53,Maintain speed,Activate hazard lights,Risky
Semi Urban,Rainy,night,no,7,30,1731.89,Turn on headlights,Pull over,Risky
Rural,Rainy,night,no,6,48,2095.82,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,no,6,48,1501.14,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,high,-4,76,1546.31,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,high,34,67,1655.77,Reduce speed,Pull over,Risky
Rural,Foggy,night,no,9,22,1827.67,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,no,37,64,2151.56,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,moderate,4,67,2220.06,Turn on headlights,Activate hazard lights,Risky
Highway,Foggy,day,moderate,39,16,2323.06,Activate hazard lights,Turn on headlights,Risky
Semi Urban,Rainy,night,high,14,90,2017.43,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,moderate,35,56,2223.72,Turn on headlights,Activate hazard lights,Risky
Highway,Sunny,day,moderate,1,40,2194.0,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,no,10,84,2345.76,Turn on headlights,Pull over,Risky
Highway,Foggy,day,no,34,75,1793.35,Maintain speed,Activate hazard lights,Risky
Semi Urban,Rainy,night,high,22,70,1771.8,Reduce speed,Pull over,Risky
Rural,Rainy,day,no,33,52,2392.81,Maintain speed,Turn on headlights,Risky
Rural,Rainy,day,no,14,56,2024.75,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,no,11,21,2113.31,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,high,16,14,2457.81,Pull over,Reduce speed,Risky
Semi Urban,Sunny,night,moderate,13,19,2242.54,Turn on headlights,Turn on headlights,Optimal
Rural,Snow,night,high,1,87,2378.74,Reduce speed,Activate hazard lights,Acceptable
Highway,Rainy,night,high,13,22,1868.03,Reduce speed,Activate hazard lights,Acceptable
Rural,Rainy,night,high,28,57,1624.53,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,no,21,91,1684.34,Maintain speed,Pull over,Risky
Semi Urban,Rainy,night,no,35,51,2181.72,Turn on headlights,Activate hazard lights,Risky
Rural,Rainy,day,no,19,39,2465.74,Maintain speed,Maintain speed,Optimal
Highway,Sunny,day,high,-8,22,2113.07,Activate hazard lights,Maintain speed,Risky
Rural,Foggy,night,moderate,18,93,1963.56,Turn on headlights,Activate hazard lights,Risky
Rural,Foggy,night,no,18,34,2189.6,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,night,moderate,36,98,2454.01,Turn on headlights,Maintain speed,Risky
Semi Urban,Rainy,day,no,5,62,1555.12,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,high,17,74,2058.33,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,no,11,98,1671.58,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,night,moderate,-9,20,2496.89,Turn on headlights,Maintain speed,Risky
Rural,Foggy,night,moderate,24,57,1922.73,Turn on headlights,Activate hazard lights,Risky
Rural,Rainy,day,moderate,27,85,1795.69,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Sunny,night,no,23,73,1624.16,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,high,14,26,2272.85,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,no,11,97,2009.37,Maintain speed,Turn on headlights,Risky
Highway,Sunny,night,high,16,73,2297.6,Reduce speed,Reduce speed,Optimal
Highway,Rainy,day,no,-8,51,2009.92,Maintain speed,Pull over,Risky
Highway,Foggy,day,high,15,14,2040.38,Pull over,Maintain speed,Unsafe
Rural,Foggy,day,moderate,24,44,1953.05,Maintain speed,Pull over,Risky
Semi Urban,Foggy,night,high,35,82,1647.24,Reduce speed,Pull over,Risky
Rural,Rainy,night,high,31,34,2303.27,Reduce speed,Activate hazard lights,Acceptable
Highway,Rainy,day,moderate,-5,93,1758.5,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,no,33,48,2354.91,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,day,high,39,87,1761.67,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,high,38,70,1667.59,Reduce speed,Reduce speed,Optimal
Rural,Snow,day,no,2,67,2483.63,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,high,7,76,2195.06,Reduce speed,Reduce speed,Optimal
Highway,Foggy,day,moderate,-1,23,2289.64,Activate hazard lights,Activate hazard lights,Optimal
Highway,Sunny,night,moderate,-8,72,2437.22,Turn on headlights,Pull over,Risky
Semi Urban,Foggy,night,moderate,23,56,2091.23,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,moderate,-3,67,1807.41,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,high,-6,32,1701.02,Reduce speed,Maintain speed,Risky
Highway,Rainy,night,moderate,22,32,2260.1,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Rainy,day,moderate,19,30,1677.04,Reduce speed,Reduce speed,Optimal
Highway,Foggy,day,no,3,23,1734.74,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Foggy,night,no,33,31,1714.66,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,no,-9,35,2464.79,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,moderate,35,75,2246.64,Turn on headlights,Pull over,Risky
Highway,Foggy,night,high,-10,37,1924.22,Reduce speed,Maintain speed,Risky
Highway,Sunny,day,high,31,22,1610.88,Activate hazard lights,Maintain speed,Risky
Semi Urban,Sunny,day,high,-8,73,2094.54,Maintain speed,Turn on headlights,Risky
Rural,Rainy,day,moderate,-6,77,2265.53,Reduce speed,Maintain speed,Risky
Rural,Rainy,night,no,17,37,1765.22,Turn on headlights,Activate hazard lights,Risky
Highway,Rainy,night,high,35,88,2244.8,Reduce speed,Turn on headlights,Risky
Highway,Foggy,night,high,23,38,2386.95,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,no,3,28,1684.57,Activate hazard lights,Activate hazard lights,Optimal
Rural,Sunny,day,high,-2,34,2101.12,Maintain speed,Turn on headlights,Risky
Highway,Rainy,day,moderate,7,24,2483.69,Reduce speed,Maintain speed,Risky
Highway,Rainy,night,no,38,90,1642.46,Turn on headlights,Activate hazard lights,Risky
Rural,Sunny,night,high,36,94,1797.94,Reduce speed,Turn on headlights,Risky
Semi Urban,Sunny,day,no,-3,28,1870.55,Activate hazard lights,Activate hazard lights,Optimal
Highway,Rainy,day,high,-6,19,2129.36,Reduce speed,Maintain speed,Risky
Rural,Rainy,day,high,-4,39,1777.6,Reduce speed,Turn on headlights,Risky
Semi Urban,Rainy,day,no,18,73,1748.95,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,13,57,1752.87,Maintain speed,Activate hazard lights,Risky
Rural,Sunny,night,high,32,47,1709.19,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,moderate,0,19,1935.92,Turn on headlights,Activate hazard lights,Risky
Rural,Rainy,night,no,14,26,1806.61,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,moderate,22,11,2231.1,Pull over,Pull over,Optimal
Semi Urban,Rainy,night,moderate,35,27,1757.24,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,moderate,30,86,2019.85,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Foggy,night,no,6,68,2104.39,Turn on headlights,Activate hazard lights,Risky
Highway,Foggy,day,high,8,11,2100.91,Pull over,Pull over,Optimal
Semi Urban,Foggy,night,no,1,65,2079.45,Turn on headlights,Reduce speed,Risky
Semi Urban,Snow,night,high,-4,61,2090.8,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,moderate,-10,36,1825.1,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,high,6,78,2166.27,Reduce speed,Maintain speed,Risky
Semi Urban,Sunny,day,high,4,59,1869.16,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,high,36,100,2067.73,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,no,35,93,1790.83,Maintain speed,Activate hazard lights,Risky
Highway,Rainy,night,high,30,47,1905.93,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,high,32,51,1928.48,Reduce speed,Reduce speed,Optimal
Semi Urban,Snow,night,high,-10,62,1813.75,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,high,-2,47,2150.61,Reduce speed,Turn on headlights,Risky
Rural,Foggy,night,moderate,24,41,2333.95,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,night,no,29,90,1783.37,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,high,38,60,1956.69,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,no,18,72,2152.83,Turn on headlights,Pull over,Risky
Highway,Foggy,day,high,-3,10,2004.95,Pull over,Pull over,Optimal
Rural,Sunny,night,high,22,21,1640.04,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,no,5,62,2120.85,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,moderate,20,70,2066.71,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,high,39,82,1716.84,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,no,31,83,1773.1,Turn on headlights,Pull over,Risky
Highway,Foggy,day,moderate,18,80,2335.92,Maintain speed,Pull over,Risky
Semi Urban,Rainy,day,high,9,85,2132.07,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,high,24,91,1763.68,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,day,high,4,93,1801.61,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,high,29,54,1666.08,Reduce speed,Pull over,Risky
Semi Urban,Foggy,day,high,-3,20,1799.6,Activate hazard lights,Activate hazard lights,Optimal
Rural,Rainy,day,high,30,11,2406.17,Pull over,Pull over,Optimal
Highway,Sunny,day,no,24,34,2447.25,Maintain speed,Maintain speed,Optimal
Highway,Sunny,day,high,-4,87,2493.28,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,high,-3,54,1770.4,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,high,0,17,1754.56,Activate hazard lights,Activate hazard lights,Optimal
Rural,Sunny,night,moderate,19,55,2223.37,Turn on headlights,Maintain speed,Risky
Highway,Rainy,day,no,26,42,1910.93,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,no,28,40,2386.18,Turn on headlights,Maintain speed,Risky
Highway,Rainy,day,moderate,28,97,1881.25,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,high,-7,41,2422.35,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,day,moderate,19,51,2260.67,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,no,-3,100,2335.64,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,no,24,23,1906.29,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,day,no,6,34,2146.82,Maintain speed,Activate hazard lights,Risky
Semi Urban,Sunny,day,moderate,-3,76,1603.54,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,moderate,12,49,2354.37,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,moderate,34,98,2049.12,Turn on headlights,Activate hazard lights,Risky
Highway,Sunny,day,moderate,6,58,1927.05,Maintain speed,Turn on headlights,Risky
Rural,Rainy,night,high,25,68,1946.6,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,high,4,17,2277.02,Reduce speed,Turn on headlights,Risky
Highway,Rainy,day,moderate,-6,47,1549.62,Reduce speed,Maintain speed,Risky
Highway,Rainy,night,no,2,79,1542.91,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,moderate,14,58,2361.64,Reduce speed,Turn on headlights,Risky
Semi Urban,Foggy,day,high,39,27,1949.71,Activate hazard lights,Maintain speed,Risky
